submission_id,age,choice1,choice2,choiceNameFirst,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,modifier,name1,name2,position,prolific_pid,prolific_session_id,prolific_study_id,prompt,response,responseTime,targeted,trialNR
2749,34,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Graduated College,41082,1710587898552,1710587857470,male,English,getting,Themaglin,Rebosen,subj,5a7f38f0eea3d300016e3767,65f57fcadc148945f0f0993b,65f5705be11b7bb4e9b1968d,Getting Themaglin is associated with Rebosen.,Themaglin causes Rebosen.,20390,first,0
2750,23,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated College,35091,1710587901178,1710587866087,female,English,having,Rebosen,Agoriv,subj,629e10bc2c72cfafd3b0aa30,65f57fd11b19a041bbde1e2a,65f5705be11b7bb4e9b1968d,Having Rebosen is associated with Agoriv.,Agoriv causes Rebosen.,17756,first,0
2751,23,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,Higher degree,15211,1710587902495,1710587887284,female,"English, Chinese",getting,Themaglin,Ceflar,PP,60f19b1807eb96e727acb757,65f57fac07e74f050a062f33,65f5705be11b7bb4e9b1968d,Themaglin is associated with having Ceflar.,Ceflar causes Themaglin.,2590,second,0
2760,36,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,,Graduated College,82415,1710587918032,1710587835618,female,English ,getting,Agoriv,Flembers,subj,60f1a0e25efc20fbcffa6e0b,65f57fb377af580afc400f77,65f5705be11b7bb4e9b1968d,Getting Agoriv is associated with Flembers.,Flembers causes Agoriv.,47407,first,0
2752,52,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,Graduated High-school,49494,1710587902404,1710587852910,female,English ,having,Ceflar,Flembers,subj,6557c0be433204d69c10c7fb,65f57fc177f3db0d47888690,65f5705be11b7bb4e9b1968d,Having Ceflar is associated with Flembers.,Flembers causes Ceflar.,17356,first,0
2759,51,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated College,42386,1710587912434,1710587870048,female,English,having,Rebosen,Agoriv,PP,5722578701ed33000838ba6d,65f57fc2c0917460779ceaa5,65f5705be11b7bb4e9b1968d,Rebosen is associated with getting Agoriv.,Rebosen causes Agoriv.,18812,second,0
2753,63,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Graduated High-school,75863,1710587902576,1710587826713,female,english,getting,Flembers,Themaglin,subj,57698d52688a5c00018d958d,65f57f7be5d2f31956d494c2,65f5705be11b7bb4e9b1968d,Getting Flembers is associated with Themaglin.,Themaglin causes Flembers.,47559,first,0
2754,45,Themaglin causes Denoden.,Denoden causes Themaglin.,Themaglin,,Graduated High-school,45385,1710587903090,1710587857705,female,English,having,Themaglin,Denoden,subj,6447a3d08660f56db643d925,65f57fcc1b19a041bbde1e25,65f5705be11b7bb4e9b1968d,Having Themaglin is associated with Denoden.,Denoden causes Themaglin.,25107,first,0
2756,49,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Graduated College,76983,1710587909618,1710587832635,male,,having,Themaglin,Flembers,subj,5b9fee11ed4db100015493dd,65f57fa7a4fe5d09132812f1,65f5705be11b7bb4e9b1968d,Having Themaglin is associated with Flembers.,Flembers causes Themaglin.,44139,first,0
2767,52,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated College,73034,1710587936455,1710587863421,female,English,getting,Flembers,Denoden,subj,5e132349b199e49599de669e,65f57fd42f7c9ce94d0bfbcc,65f5705be11b7bb4e9b1968d,Getting Flembers is associated with Denoden.,Denoden causes Flembers.,31054,first,0
2755,65,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Higher degree,67940,1710587908882,1710587840942,male,english,getting,Rebosen,Flembers,PP,5b2207cd648d5b0001b7c779,65f57fbb4de9e42bafa03e7c,65f5705be11b7bb4e9b1968d,Rebosen is associated with having Flembers.,Rebosen causes Flembers.,22578,second,0
2761,45,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,None.,Graduated College,91464,1710587923896,1710587832432,male,English,having,Agoriv,Flembers,PP,5dc71b96d210e45213e92359,65f57f8ac0917460779ceaa0,65f5705be11b7bb4e9b1968d,Agoriv is associated with getting Flembers.,Flembers causes Agoriv.,51541,second,0
2770,62,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,none,Graduated High-school,194534,1710587973292,1710587778758,male,English,having,Themaglin,Denoden,subj,5c5898e49fcbc40001dcbc42,65f57f1f6dc788f69e7154b4,65f5705be11b7bb4e9b1968d,Having Themaglin is associated with Denoden.,Themaglin causes Denoden.,30611,first,0
2757,45,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Graduated College,56779,1710587913204,1710587856425,female,English,getting,Rebosen,Ceflar,PP,57549ae7f2ab9d00062ffe4c,65f57fc48a3cb154ab51312a,65f5705be11b7bb4e9b1968d,Rebosen is associated with having Ceflar.,Rebosen causes Ceflar.,24233,second,0
2758,34,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Graduated College,62746,1710587914135,1710587851389,female,English ,having,Themaglin,Rebosen,PP,5bec91e66cb00e00015b8a7b,65f57fc23213d7223ce27d36,65f5705be11b7bb4e9b1968d,Themaglin is associated with getting Rebosen.,Themaglin causes Rebosen.,29523,second,0
2765,28,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated College,64495,1710587928906,1710587864411,female,English,having,Ceflar,Themaglin,PP,5b76b1eb3e6b050001306c7f,65f57fd107e74f050a062f42,65f5705be11b7bb4e9b1968d,Ceflar is associated with getting Themaglin.,Themaglin causes Ceflar.,30120,second,0
2762,56,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,None,Graduated College,96878,1710587923601,1710587826723,female,English,getting,Rebosen,Agoriv,subj,647b06286361b427361fced5,65f57faaa4bcfa4e229cf088,65f5705be11b7bb4e9b1968d,Getting Rebosen is associated with Agoriv.,Agoriv causes Rebosen.,57960,first,0
2764,48,Ceflar causes Agoriv.,Agoriv causes Ceflar.,Ceflar,,Graduated College,28658,1710587921904,1710587893246,male,English,getting,Agoriv,Ceflar,PP,5d6a9ecc99990e0016e142a7,65f57f9144684c4903515178,65f5705be11b7bb4e9b1968d,Agoriv is associated with having Ceflar.,Agoriv causes Ceflar.,8778,second,0
2763,57,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Graduated High-school,55322,1710587923934,1710587868612,female,English,getting,Denoden,Ceflar,subj,64ccf9cc977586e51e651f69,65f57fd257c01c012863d1f4,65f5705be11b7bb4e9b1968d,Getting Denoden is associated with Ceflar.,Ceflar causes Denoden.,28532,first,0
2766,26,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Graduated College,368825,1710587935987,1710587567162,male,English,getting,Flembers,Rebosen,subj,5bba872c26ada60001e395e3,65f57ea9d2c2d2a4ff766479,65f5705be11b7bb4e9b1968d,Getting Flembers is associated with Rebosen.,Rebosen causes Flembers.,352387,first,0
2768,63,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Graduated College,92011,1710587944039,1710587852028,female,English,having,Themaglin,Flembers,PP,633efb4374ec6abb48f9c024,65f57fc0b5d8fd739f060289,65f5705be11b7bb4e9b1968d,Themaglin is associated with getting Flembers.,Themaglin causes Flembers.,41328,second,0
2769,50,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Graduated College,152159,1710587957909,1710587805750,female,english,getting,Ceflar,Denoden,PP,64cbf7782ef2822aad3f9d1d,65f57f94b2471d94ad38e17e,65f5705be11b7bb4e9b1968d,Ceflar is associated with having Denoden.,Denoden causes Ceflar.,113203,second,0
2771,60,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Higher degree,28638,1710587982575,1710587953937,male,English ,having,Rebosen,Agoriv,subj,5ec705b09b469614f8418b27,65f57e9c77af580afc400f49,65f5705be11b7bb4e9b1968d,Having Rebosen is associated with Agoriv.,Agoriv causes Rebosen.,7106,first,0
2772,22,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,34264,1710587977478,1710587943214,male,English,getting,Denoden,Flembers,subj,6083e4575dc56d8ed869d70f,65f57f0da4bcfa4e229cf064,65f5705be11b7bb4e9b1968d,Getting Denoden is associated with Flembers.,Flembers causes Denoden.,14322,first,0
2773,38,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Higher degree,648654,1710588162116,1710587513462,female,English,getting,Flembers,Themaglin,subj,5e18a90788bbb5000b1fa144,65f57e67391bec682990d4e8,65f5705be11b7bb4e9b1968d,Getting Flembers is associated with Themaglin.,Themaglin causes Flembers.,30943,first,0
2376,33,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,Graduated College,79579,1710586294920,1710586215341,female,English,having,Rebosen,Ceflar,subj,57b4cca50793e70001ae955f,65f5795907e74f050a062d8b,65f5705be11b7bb4e9b1968d,Having Rebosen is associated with Ceflar.,Ceflar causes Rebosen.,54064,first,0
2374,37,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,84269,1710586257922,1710586173653,male,English,getting,Flembers,Denoden,PP,62fbe5ddb38a3cc80a556086,65f5792b4d61aa2462a035dd,65f5705be11b7bb4e9b1968d,Flembers is associated with having Denoden.,Denoden causes Flembers.,54671,second,0
2375,29,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,41096,1710586300043,1710586258947,other,English,getting,Rebosen,Denoden,subj,61fa94725719bc09cb834f46,65f5798ab5d8fd739f06013d,65f5705be11b7bb4e9b1968d,Getting Rebosen is associated with Denoden.,Denoden causes Rebosen.,14885,first,0
2369,41,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated High-school,46400,1710586116801,1710586070401,male,english,having,Agoriv,Rebosen,PP,5d02953ef1c4e40001af2921,65f578c9b2471d94ad38e03a,65f5705be11b7bb4e9b1968d,Agoriv is associated with getting Rebosen.,Agoriv causes Rebosen.,26460,second,0
2370,31,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,Graduated College,53462,1710586172287,1710586118825,male,English,getting,Denoden,Ceflar,subj,63d65d1e9524e8cf5b33f4ca,65f578ffc2c3b78c8ed5a9f3,65f5705be11b7bb4e9b1968d,Getting Denoden is associated with Ceflar.,Ceflar causes Denoden.,21521,first,0
2371,31,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Higher degree,40725,1710586183985,1710586143260,male,English ,getting,Agoriv,Themaglin,subj,62e0415ea79af8a97f11a0cd,65f5790bc4a4cbdb07767f15,65f5705be11b7bb4e9b1968d,Getting Agoriv is associated with Themaglin.,Themaglin causes Agoriv.,21198,first,0
2372,47,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Graduated High-school,70376,1710586232327,1710586161951,female,English,getting,Themaglin,Rebosen,PP,5fbe39bf0d0ce90a7eb0c791,65f57924a4fe5d0913281171,65f5705be11b7bb4e9b1968d,Themaglin is associated with having Rebosen.,Rebosen causes Themaglin.,31591,second,0
2373,66,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Graduated High-school,95375,1710586234867,1710586139492,female,,getting,Agoriv,Denoden,PP,5cb2008160f7de00014f5523,65f5791149034aba6be113fc,65f5705be11b7bb4e9b1968d,Agoriv is associated with having Denoden.,Agoriv causes Denoden.,49457,second,0
2377,32,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Graduated College,63364,1710586550811,1710586487447,female,English,having,Flembers,Ceflar,subj,628f73adc5b81a118dfb1a06,65f5797344684c4903515048,65f5705be11b7bb4e9b1968d,Having Flembers is associated with Ceflar.,Ceflar causes Flembers.,34377,first,0
2378,30,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,34617,1710586321808,1710586287191,female,English,having,Flembers,Ceflar,PP,5db8a8831d5c1a000e5bc4dc,65f579aa6dc788f69e715385,65f5705be11b7bb4e9b1968d,Flembers is associated with getting Ceflar.,Flembers causes Ceflar.,19900,second,0
2410,37,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Graduated College,33198,1710586777812,1710586744614,male,,getting,Themaglin,Rebosen,PP,62fc94176ecdef3f7bd04833,65f57b6edf5d5ea675b1c940,65f5705be11b7bb4e9b1968d,Themaglin is associated with having Rebosen.,Rebosen causes Themaglin.,17642,second,0
2423,65,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Graduated High-school,79893,1710586870357,1710586790464,male,ENGLISH,getting,Flembers,Rebosen,PP,5dc2d1940550ef1eadce6d9e,65f57b99c4a4cbdb07767f65,65f5705be11b7bb4e9b1968d,Flembers is associated with having Rebosen.,Rebosen causes Flembers.,44872,second,0
2426,25,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Graduated College,36740,1710586884739,1710586847999,female,english,having,Denoden,Agoriv,subj,5e7890373d791e0009febd86,65f57bddc0917460779ce9da,65f5705be11b7bb4e9b1968d,Having Denoden is associated with Agoriv.,Denoden causes Agoriv.,20392,first,0
