submission_id,age,choice1,choice2,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,name1,name2,name3,name4,name5,name6,prolific_pid,prolific_session_id,prolific_study_id,prompt,response,responseTime,trialNR,trialType
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,D follows from C,19531,1,generation-task-1
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,D follows from C,12779,2,generation-task-1
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,D follows from C,9798,3,generation-task-1
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,F brings about A,10789,1,generation-task-2
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,F brings about A,9732,2,generation-task-2
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,-,F brings about A,5185,3,generation-task-2
3237,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,,Graduated High-school,138857,1712748974483,1712748835626,female,effect-first,English,Ceflar,Denoden,Flembers,Agoriv,Rebosen,Themaglin,5f3ad1066e42ae76ba87cb2d,6616791a4c56f7e6f10d4e75,661674e0c44e7bba83cabd4f,Rebosen is associated with Themaglin.,Rebosen causes Themaglin.,14919,1,FC-interpretation
3232,18,Agoriv causes Ceflar.,Ceflar causes Agoriv.,,Higher degree,140907,1712748725534,1712748584627,female,effect-first,English,Rebosen,Denoden,Flembers,Themaglin,Agoriv,Ceflar,5f89a9376dcf670813a3bc9a,66167811f976c4206398a48f,661674e0c44e7bba83cabd4f,-,Denoden results from Rebosen,27863,1,generation-task-1
3232,18,Agoriv causes Ceflar.,Ceflar causes Agoriv.,,Higher degree,140907,1712748725534,1712748584627,female,effect-first,English,Rebosen,Denoden,Flembers,Themaglin,Agoriv,Ceflar,5f89a9376dcf670813a3bc9a,66167811f976c4206398a48f,661674e0c44e7bba83cabd4f,-,D is caused by R,18453,2,generation-task-1
3232,18,Agoriv causes Ceflar.,Ceflar causes Agoriv.,,Higher degree,140907,1712748725534,1712748584627,female,effect-first,English,Rebosen,Denoden,Flembers,Themaglin,Agoriv,Ceflar,5f89a9376dcf670813a3bc9a,66167811f976c4206398a48f,661674e0c44e7bba83cabd4f,-,D happens because of R,16694,3,generation-task-1
