submission_id,age,choice1,choice2,choiceNameFirst,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,name1,name2,prolific_pid,prolific_session_id,prolific_study_id,prompt,response,responseTime,trialNR
981,32,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,symmetric,Higher degree,105712,1704725988940,1704725883228,female,Igbo and english,Flembers,Rebosen,611bea562af09af0262b97bb,659c0d705baa2a6025fa6af4,659c0a8fa416f7f903ea0d6a,Flembers and Rebosen are associated.,Rebosen causes Flembers.,53310,0
982,30,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,symmetric,Graduated College,37639,1704726004398,1704725966759,female,English,Rebosen,Themaglin,62ce9896add904c5c58f358c,659c0dc82ebd1a9176b44d5f,659c0a8fa416f7f903ea0d6a,Rebosen and Themaglin are associated.,Rebosen causes Themaglin.,16304,0
984,32,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,symmetric,Graduated High-school,35976,1704726006855,1704725970879,male,English,Themaglin,Ceflar,640eed41ed549edebea0645b,659c0dcc7897a8698d4d7502,659c0a8fa416f7f903ea0d6a,Themaglin and Ceflar are associated.,Themaglin causes Ceflar.,9567,0
985,54,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,symmetric,Graduated College,44182,1704726010882,1704725966700,female,English,Themaglin,Denoden,5a59c1dfeedc32000142835a,659c0dc5b93016ada6740b63,659c0a8fa416f7f903ea0d6a,Themaglin and Denoden are associated.,Themaglin causes Denoden.,15669,0
986,29,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,symmetric,Higher degree,42564,1704726012684,1704725970120,female,English,Denoden,Flembers,5a8317fa17ef35000170780a,659c0dcbf764818aebc5691c,659c0a8fa416f7f903ea0d6a,Denoden and Flembers are associated.,Denoden causes Flembers.,17375,0
987,29,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,asymmetric,Graduated College,74930,1704726013073,1704725938143,female,english,Denoden,Flembers,61443f2fdf52708c67cdb465,659c0da73f126e8bfa664271,659c0a8fa416f7f903ea0d6a,Denoden is associated with Flembers.,Flembers causes Denoden.,21535,0
914,27,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,asymmetric,Graduated College,47432,1704725351870,1704725304438,female,English,Denoden,Ceflar,5dd59a3786411b56310c1b71,659c0b3282c311db92c0e416,659c0a8fa416f7f903ea0d6a,Denoden is associated with Ceflar.,Ceflar causes Denoden.,18614,0
915,44,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,None,asymmetric,Graduated High-school,43882,1704725384980,1704725341098,female,English ,Denoden,Ceflar,5d4c28e28f11b70015ba045f,659c0b55d0e2e7e9f9c5684f,659c0a8fa416f7f903ea0d6a,Denoden is associated with Ceflar.,Denoden causes Ceflar.,14981,0
916,48,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,asymmetric,Graduated College,52987,1704725399317,1704725346330,female,English,Flembers,Denoden,5ea3be1ded317135414dceff,659c0b50a89f40a072fe348c,659c0a8fa416f7f903ea0d6a,Flembers is associated with Denoden.,Denoden causes Flembers.,15350,0
917,34,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,asymmetric,Graduated College,28839,1704725396637,1704725367798,female,English,Themaglin,Agoriv,5ebeb430b3bf7e087412aefc,659c0b7429c928a7e3c0e3ea,659c0a8fa416f7f903ea0d6a,Themaglin is associated with Agoriv.,Agoriv causes Themaglin.,12185,0
